nodo,containerid,containername,pid,ppid,cmd
nodo,containerid,containername,pid,ppid,cmd
luish-Nitro-AN515-57,1ecc830e29f37b2717c78b811763afdd77355022e7d032b09e157bd9ad687ee8,,30020,29961,"30020   29961 /usr/bin/kube-controllers"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29009,28023,"29009   28023 /usr/local/bin/runsvdir -P /etc/service/enabled"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29113,29009,"29113   29009 runsv cni"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29114,29009,"29114   29009 runsv confd"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29115,29009,"29115   29009 runsv bird6"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29116,29009,"29116   29009 runsv felix"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29117,29009,"29117   29009 runsv monitor-addresses"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29118,29009,"29118   29009 runsv bird"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29119,29009,"29119   29009 runsv allocate-tunnel-addrs"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29120,29009,"29120   29009 runsv node-status-reporter"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29122,29116,"29122   29116 calico-node -felix"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29123,29117,"29123   29117 calico-node -monitor-addresses"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29124,29113,"29124   29113 calico-node -monitor-token"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29126,29119,"29126   29119 calico-node -allocate-tunnel-addrs"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29127,29120,"29127   29120 calico-node -status-reporter"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29128,29114,"29128   29114 calico-node -confd"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29401,29115,"29401   29115 bird6 -R -s /var/run/calico/bird6.ctl -d -c /etc/calico/confd/config/bird6.cfg"
luish-Nitro-AN515-57,bc2265be820f58203ce3b0067c3ce54b4c3264f9f1a1ae6a46cd38e09e01d09d,,29402,29118,"29402   29118 bird -R -s /var/run/calico/bird.ctl -d -c /etc/calico/confd/config/bird.cfg"
luish-Nitro-AN515-57,a138dd6059cf96b2c950904ab48ac47522020acb4c69d6fd748d168b51d15cfb,,24989,24935,"24989   24935 /usr/local/bin/kube-proxy --config=/var/lib/kube-proxy/config.conf --hostname-override=luish-nitro-an515-57"
luish-Nitro-AN515-57,9ab3f8da15c9cf9c70a034709422d5eaaa274b94577fc06dcd1941082e4f8d2d,,24507,24308,"24507   24308 kube-scheduler --authentication-kubeconfig=/etc/kubernetes/scheduler.conf --authorization-kubeconfig=/etc/kubernetes/scheduler.conf --bind-address=127.0.0.1 --kubeconfig=/etc/kubernetes/scheduler.conf --leader-elect=true"
luish-Nitro-AN515-57,7166eed24d91ff1850f2cebe89e5fff00ab1c4e0f86e272f57c41fdd0a02fa53,,24500,24315,"24500   24315 kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller-manager.conf --authorization-kubeconfig=/etc/kubernetes/controller-manager.conf --bind-address=127.0.0.1 --client-ca-file=/etc/kubernetes/pki/ca.crt --cluster-name=kubernetes --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --controllers=*,bootstrapsigner,tokencleaner --kubeconfig=/etc/kubernetes/controller-manager.conf --leader-elect=true --requestheader-client-ca-file=/etc/kubernetes/pki/front-proxy-ca.crt --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/sa.key --use-service-account-credentials=true"
luish-Nitro-AN515-57,3b2c3068fd97d5e9bc73bc760d8f432e6c9b8b07ba07796e8d6b9843876353e8,,24498,24273,"24498   24273 kube-apiserver --advertise-address=192.168.18.27 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-file=/etc/kubernetes/pki/ca.crt --enable-admission-plugins=NodeRestriction --enable-bootstrap-token-auth=true --etcd-cafile=/etc/kubernetes/pki/etcd/ca.crt --etcd-certfile=/etc/kubernetes/pki/apiserver-etcd-client.crt --etcd-keyfile=/etc/kubernetes/pki/apiserver-etcd-client.key --etcd-servers=https://127.0.0.1:2379 --kubelet-client-certificate=/etc/kubernetes/pki/apiserver-kubelet-client.crt --kubelet-client-key=/etc/kubernetes/pki/apiserver-kubelet-client.key --kubelet-preferred-address-types=InternalIP,ExternalIP,Hostname --proxy-client-cert-file=/etc/kubernetes/pki/front-proxy-client.crt --proxy-client-key-file=/etc/kubernetes/pki/front-proxy-client.key --requestheader-allowed-names=front-proxy-client --requestheader-client-ca-file=/etc/kubernetes/pki/front-proxy-ca.crt --requestheader-extra-headers-prefix=X-Remote-Extra- --requestheader-group-headers=X-Remote-Group --requestheader-username-headers=X-Remote-User --secure-port=6443 --service-account-issuer=https://kubernetes.default.svc.cluster.local --service-account-key-file=/etc/kubernetes/pki/sa.pub --service-account-signing-key-file=/etc/kubernetes/pki/sa.key --service-cluster-ip-range=10.96.0.0/12 --tls-cert-file=/etc/kubernetes/pki/apiserver.crt --tls-private-key-file=/etc/kubernetes/pki/apiserver.key"
luish-Nitro-AN515-57,f616486cfe5b5189faa522827c85e0b8b990d2c70ea921bcea1c3e71b2f02e2b,,24491,24245,"24491   24245 etcd --advertise-client-urls=https://192.168.18.27:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-auth=true --data-dir=/var/lib/etcd --experimental-initial-corrupt-check=true --experimental-watch-progress-notify-interval=5s --initial-advertise-peer-urls=https://192.168.18.27:2380 --initial-cluster=luish-nitro-an515-57=https://192.168.18.27:2380 --key-file=/etc/kubernetes/pki/etcd/server.key --listen-client-urls=https://127.0.0.1:2379,https://192.168.18.27:2379 --listen-metrics-urls=http://127.0.0.1:2381 --listen-peer-urls=https://192.168.18.27:2380 --name=luish-nitro-an515-57 --peer-cert-file=/etc/kubernetes/pki/etcd/peer.crt --peer-client-cert-auth=true --peer-key-file=/etc/kubernetes/pki/etcd/peer.key --peer-trusted-ca-file=/etc/kubernetes/pki/etcd/ca.crt --snapshot-count=10000 --trusted-ca-file=/etc/kubernetes/pki/etcd/ca.crt"
