Average Power leo sd : 0.00 Watts
Total Energy leo sd : 0.00 Joules
2025-12-11 09:36:51,0.0
2025-12-11 09:36:52,0.0
2025-12-11 09:36:53,0.0
2025-12-11 09:36:54,0.0
2025-12-11 09:36:55,0.0
2025-12-11 09:36:56,0.0
2025-12-11 09:36:57,0.0
2025-12-11 09:36:58,0.0
2025-12-11 09:36:59,0.0
2025-12-11 09:37:00,0.0
2025-12-11 09:37:01,0.0
2025-12-11 09:37:02,0.0
2025-12-11 09:37:03,0.0
2025-12-11 09:37:04,0.0
2025-12-11 09:37:05,0.0
2025-12-11 09:37:06,0.0
2025-12-11 09:37:07,0.0
2025-12-11 09:37:08,0.0
2025-12-11 09:37:09,0.0
2025-12-11 09:37:10,0.0
2025-12-11 09:37:11,0.0
2025-12-11 09:37:12,0.0
2025-12-11 09:37:13,0.0
2025-12-11 09:37:14,0.0
2025-12-11 09:37:15,0.0
2025-12-11 09:37:16,0.0
2025-12-11 09:37:17,0.0
2025-12-11 09:37:18,0.0
2025-12-11 09:37:19,0.0
2025-12-11 09:37:20,0.0
2025-12-11 09:37:21,0.0
2025-12-11 09:37:22,0.0
2025-12-11 09:37:23,0.0
2025-12-11 09:37:24,0.0
2025-12-11 09:37:25,0.0
2025-12-11 09:37:26,0.0
2025-12-11 09:37:27,0.0
2025-12-11 09:37:28,0.0
2025-12-11 09:37:29,0.0
2025-12-11 09:37:30,0.0
2025-12-11 09:37:31,0.0
2025-12-11 09:37:32,0.0
2025-12-11 09:37:33,0.0
2025-12-11 09:37:34,0.0
2025-12-11 09:37:35,0.0
2025-12-11 09:37:36,0.0
2025-12-11 09:37:37,0.0
2025-12-11 09:37:38,0.0
2025-12-11 09:37:39,0.0
2025-12-11 09:37:40,0.0
2025-12-11 09:37:41,0.0
2025-12-11 09:37:42,0.0
2025-12-11 09:37:43,0.0
2025-12-11 09:37:44,0.0
2025-12-11 09:37:45,0.0
2025-12-11 09:37:46,0.0
2025-12-11 09:37:47,0.0
2025-12-11 09:37:48,0.0
2025-12-11 09:37:49,0.0
2025-12-11 09:37:50,0.0
2025-12-11 09:37:51,0.0
2025-12-11 09:37:52,0.0
2025-12-11 09:37:53,0.0
2025-12-11 09:37:54,0.0
2025-12-11 09:37:55,0.0
2025-12-11 09:37:56,0.0
2025-12-11 09:37:57,0.0
2025-12-11 09:37:58,0.0
2025-12-11 09:37:59,0.0
2025-12-11 09:38:00,0.0
2025-12-11 09:38:01,0.0
2025-12-11 09:38:02,0.0
2025-12-11 09:38:03,0.0
2025-12-11 09:38:04,0.0
2025-12-11 09:38:05,0.0
2025-12-11 09:38:06,0.0
2025-12-11 09:38:07,0.0
2025-12-11 09:38:08,0.0
2025-12-11 09:38:09,0.0
2025-12-11 09:38:10,0.0
